product_name	product_image_link	product_rating
Deep Bass Metal Plugs in-Ear Earphones Compatible for Reliance Jio Lyf Wind 6 -Black	https://m.media-amazon.com/images/I/61PV5Q++DVL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
boAt BassHeads 100 Hawk Inspired Earphones with Mic (Taffy Pink)	https://m.media-amazon.com/images/I/719sf-DtkvL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Nekosta Bluetooth 5.0 Earphones 5 Hours Playtime, Wireless Heaphones with Mic Stereo Call 3D Sound in Ear Wireless Sport Earphone(Very Color)	https://m.media-amazon.com/images/I/41mQWdpZXpL._AC_UY218_ML3_.jpg	5.0 out of 5 stars
Boult Audio BassBuds Loop in-Ear Wired Earphones with Mic and Deep Bass, HD Sound Mobile Headset with Noise Cancellation and Customizable Ear Loop (Black)	https://m.media-amazon.com/images/I/51W6SiXQppL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
boAt BassHeads 162 with HD Sound, in-line mic, Dual Tone Secure Braided Cable & 3.5mm Angled Jack Wired Earphones (Black)	https://m.media-amazon.com/images/I/61v6IaSVylL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Dumbel Helix 2.0 in-Ear Hi-Res Heavy Duty Bass Metal Earphones with Mic - 1 Yr Warranty	https://m.media-amazon.com/images/I/81B-NEFOX-L._AC_UY218_ML3_.jpg	4.4 out of 5 stars
boAt BassHeads 100 in-Ear Headphones with Mic (Black)	https://m.media-amazon.com/images/I/719elVA3FvL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Lowfe Magnetic Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic Sports Stereo Music Jogger,Running, Gym Bluetooth Headset Compatible with All Smartphones	https://m.media-amazon.com/images/I/41OmaWKw8OL._AC_UY218_ML3_.jpg	5.0 out of 5 stars
Mi Earphone Basic with Ultra deep bass and mic (Blue)	https://m.media-amazon.com/images/I/610co8JoMtL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Motorola Pace 130 in-Ear Headphones with Mic, Ear Hooks & Alexa Built-in(Black)	https://m.media-amazon.com/images/I/51RCgzmMUTL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Bluetooth Earbuds,BTSELR True Wireless Headphone with Charging Case 2000 mAh, Voice Assistant IPX7 Waterproof Touch Long Battery Life Earphone,Built-in Mic	https://m.media-amazon.com/images/I/61YNx9cwfAL._AC_UY218_ML3_.jpg	3.8 out of 5 stars
boAt BassHeads 100 Hawk Inspired Earphones with Mic (Furious Red)	https://m.media-amazon.com/images/I/61l+14s5QVL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 12 Feet (3.5mm)	https://m.media-amazon.com/images/I/610AEeQWTQL._AC_UY218_ML3_.jpg	4.5 out of 5 stars
DAHSHA Gold Plated 3.5mm Stereo Female to 2 Male Y-Splitter AUX Cable with Separate Headphone/Earphone/Microphone(Black)	https://m.media-amazon.com/images/I/610azcjibOL._AC_UY218_ML3_.jpg	4.0 out of 5 stars
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 12 Feet (3.5mm)	https://m.media-amazon.com/images/I/610AEeQWTQL._AC_UY218_ML3_.jpg	4.5 out of 5 stars
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 6 Feet (3.5mm)	https://m.media-amazon.com/images/I/71F4Q2qJs0L._AC_UY218_ML3_.jpg	4.5 out of 5 stars
New 3.5mm Male To Female Stereo Audio Extension Cable 3 Meters (10 Feet)	https://m.media-amazon.com/images/I/71hg-39nt-L._AC_UY218_ML3_.jpg	4.2 out of 5 stars
boAt BassHeads 152 with HD Sound, in-line mic, Dual Tone Secure Braided Cable & 3.5mm Angled Jack Wired Earphones. (Red)	https://m.media-amazon.com/images/I/61MeDZppsiL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Amazing_Deal Earphones with Ultra Bass and Dolby Sound 0.33 mm Jack for All Samsung/Android/iOS Devices (White)	https://m.media-amazon.com/images/I/31y8WzVbOuL._AC_UY218_ML3_.jpg	5.0 out of 5 stars
CZARTECH Acoustics CW530BT Neckband Wireless Bluetooth Earphones with Mic, Magnetic Lock, Deep Bass - Powerful Sound, Super Comfortable fit, Upto 7 hrs Battery, Compatible with All Mobile Phones	https://m.media-amazon.com/images/I/71u3jTvRAwL._AC_UY218_ML3_.jpg	4.6 out of 5 stars
CZARTECH Acoustics CW430 in-Ear Wired Earphones with Mic (Black)	https://m.media-amazon.com/images/I/41NHFekuWnL._AC_UY218_ML3_.jpg	4.3 out of 5 stars
SKETCHFAB Wireless Bluetooth Earphone Stereo Sports Wireless Portable Neckband Headset Compatible for All Smartphones Mobile(Black)	https://m.media-amazon.com/images/I/51kdGAUb3bL._AC_UY218_ML3_.jpg	5.0 out of 5 stars
Rengvo Exports HBS-730 Neckband Bluetooth Headphones Earphone Wireless Headset with Mic for All Smartphones hbs 730 Neckband Bluetooth (Black & White)	https://m.media-amazon.com/images/I/61jz56doqfL._AC_UY218_ML3_.jpg	4.6 out of 5 stars
LUZWE Mini S650 Hands-Free Bluetooth Music Ultralight in-Ear Headset; Earphones with Mic for iPhone & All Smartphones(Black)	https://m.media-amazon.com/images/I/41vmFRsh9aL._AC_UY218_ML3_.jpg	4.1 out of 5 stars
Zebronics Zeb-Petal Wired Earphone with in line mic and Sporty Design	https://m.media-amazon.com/images/I/71WhPL+rtgL._AC_UY218_ML3_.jpg	4.3 out of 5 stars
