product_name	product_image
boAt BassHeads 100 in-Ear Headphones with Mic (Black)	https://m.media-amazon.com/images/I/719elVA3FvL._AC_UY218_ML3_.jpg
JBL C100SI In-Ear Deep Bass Headphones with Mic (Black)	https://m.media-amazon.com/images/I/61ptzNC8r8L._AC_UY218_ML3_.jpg
ERD Earphone Built-in-mic Smart Earbuds (Black)	https://m.media-amazon.com/images/I/41fG33i2HeL._AC_UY218_ML3_.jpg
WeCool Mr.Bass W004 in-Ear Wired Earphones with Mic,Deep Bass HD Sound Mobile Headset with Noise Cancellation,Mobile Phone headsets,Ear Phone with mic and Free Carry Case (Black)	https://m.media-amazon.com/images/I/610px0X-vVL._AC_UY218_ML3_.jpg
Oxhox Bluetooth V5.1 Wireless Compatible with redmi and Realme Headset and All The Smart Phone Bluetooth Headset with Mic	https://m.media-amazon.com/images/I/41SINHnZvvL._AC_UY218_ML3_.jpg
boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Active Black)	https://m.media-amazon.com/images/I/61ku39qVEzL._AC_UY218_ML3_.jpg
boAt BassHeads 225 in-Ear Super Extra Bass Headphones (Black)	https://m.media-amazon.com/images/I/611vb2+itAL._AC_UY218_ML3_.jpg
Samsung SSLION12 In-Ear Earphones with Mic (White)	https://m.media-amazon.com/images/I/11r4M-ME+2L._AC_UY218_ML3_.jpg
Realme Buds 2 with Mic for Android Smartphones (Black)	https://m.media-amazon.com/images/I/51F5+NiGOxL._AC_UY218_ML3_.jpg
Mi Earphone Basic with Ultra deep bass and mic (Black)	https://m.media-amazon.com/images/I/71mQ9oKDMLL._AC_UY218_ML3_.jpg
Sennheiser CX 275 S In -Ear Universal Mobile Headphone With Mic (Black)	https://m.media-amazon.com/images/I/31L54z+40cL._AC_UY218_ML3_.jpg
boAt BassHeads 225 Special Edition in-Ear Headphones with Mic (Blue)	https://m.media-amazon.com/images/I/61HX1RD3HyL._AC_UY218_ML3_.jpg
Kinsound 3.5mm Aux Cable (Hi-Fi Sound) Stereo Male to Male Audio Cable with Gold Plated Connectors, Black(1 Meter)	https://m.media-amazon.com/images/I/31RTW48T4ZL._AC_UY218_ML3_.jpg
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 12 Feet (3.5mm)	https://m.media-amazon.com/images/I/610AEeQWTQL._AC_UY218_ML3_.jpg
Mi Earphone Basic with Ultra deep bass and mic (Blue)	https://m.media-amazon.com/images/I/610co8JoMtL._AC_UY218_ML3_.jpg
RiaTech Gold Plated 2 Male to 1 Female 3.5mm Headphone Earphone Mic Audio Y Splitter Cable for PC Laptop \u2013 Black	https://m.media-amazon.com/images/I/61od3ihWUnL._AC_UY218_ML3_.jpg
AmazonBasics Male to Female Stereo Audio Cable (Aux Extension Cable) with Gold Plated Connectors- 12 Feet (3.5mm)	https://m.media-amazon.com/images/I/610AEeQWTQL._AC_UY218_ML3_.jpg
NS-14 Hard Earphone Case Headphone Organizer - Shockproof Mini Earbud Carrying Case for AirPods High Protection Small Storage Pouch Bluetooth Earpiece Bag (Pack of 1)	https://m.media-amazon.com/images/I/51dROeHSNKL._AC_UY218_ML3_.jpg
RiaTech 2 Pack Gold Plated 3.5mm 2 Male to 1 Female Headphone Earphone Mic Audio Y Splitter Cable- Black	https://m.media-amazon.com/images/I/71aOgpjxBbL._AC_UY218_ML3_.jpg
Sennheiser CX 180 Street II In-Ear Headphone (Black), without Mic	https://m.media-amazon.com/images/I/51j4zZ9eQSL._AC_UY218_ML3_.jpg
Boult Audio BassBuds Loop in-Ear Wired Earphones with Mic and Deep Bass, HD Sound Mobile Headset with Noise Cancellation and Customizable Ear Loop (Black)	https://m.media-amazon.com/images/I/51W6SiXQppL._AC_UY218_ML3_.jpg
Sony MDR-EX150AP Wired In-Ear Headphones with tangle free cable, 3.5mm Jack, Headset with Mic for phone calls and 1 Year Warranty - (Black)	https://m.media-amazon.com/images/I/615q1CnYRdL._AC_UY218_ML3_.jpg
DAHSHA Gold Plated 3.5mm Stereo Female to 2 Male Y-Splitter AUX Cable with Separate Headphone/Earphone/Microphone(Black)	https://m.media-amazon.com/images/I/610azcjibOL._AC_UY218_ML3_.jpg
JBL C200SI Super Deep Bass in-Ear Headphones with Mic (Mystic Blue)	https://m.media-amazon.com/images/I/61JPsoOQ7zL._AC_UY218_ML3_.jpg
Storite 3.5mm Jack 1 Male to 2 Female Stereo Headphone Earphone Jack Y Splitter Audio Adapter Cable (Black)	https://m.media-amazon.com/images/I/719i6AjFgoL._AC_UY218_ML3_.jpg
boAt BassHeads 152 with HD Sound, in-line mic, Dual Tone Secure Braided Cable & 3.5mm Angled Jack Wired Earphones (Blue)	https://m.media-amazon.com/images/I/61V2lx8aLPL._AC_UY218_ML3_.jpg
Secro 6.35mm Male To 3.5mm Female Stereo Jack Headphone Adapter Converter - (Pack Of 2)	https://m.media-amazon.com/images/I/31GB4D7bTRL._AC_UY218_ML3_.jpg
